car_id,dealer_id,make,model,year,acquisition_price,expected_resale_price,condition_score,location,ingredients_date,days_in_stock,status
1,1,Volkswagen,Antworten,2018,19900.0,,4,Recklinghausen,2025-02-28 02:42:43,49,available
2,1,Volkswagen,Scheinen,2018,28775.0,,7,Recklinghausen,2025-07-16 11:42:16,125,available
3,1,Volkswagen,Ins,2024,35052.0,40309.799999999996,10,Recklinghausen,2023-03-26 19:33:51,43,sold
4,1,Volkswagen,Dem,2020,28589.0,32877.35,7,Recklinghausen,2024-11-09 22:14:02,127,sold
5,1,Volkswagen,Drei,2018,39022.0,,4,Recklinghausen,2025-09-23 06:17:06,60,available
6,1,Volkswagen,Finger,2024,37918.0,,7,Recklinghausen,2023-02-21 04:35:57,134,available
7,1,Volkswagen,Sonne,2019,19935.0,22925.25,2,Recklinghausen,2025-06-27 11:25:36,168,sold
8,1,Volkswagen,Jeder,2021,35860.0,41239.0,4,Recklinghausen,2024-09-01 16:57:51,180,sold
9,1,Volkswagen,Dein,2018,18313.0,,9,Recklinghausen,2024-10-16 05:33:47,125,available
10,1,Volkswagen,Vater,2022,31100.0,35765.0,6,Recklinghausen,2024-03-18 13:44:30,144,sold
11,1,Volkswagen,Onkel,2019,38517.0,,5,Recklinghausen,2024-01-02 21:04:08,164,available
12,1,Volkswagen,Bild,2020,25938.0,29828.699999999997,6,Recklinghausen,2025-03-18 05:11:31,148,sold
13,1,Volkswagen,Schwarz,2021,14371.0,16526.649999999998,9,Recklinghausen,2025-10-08 07:10:48,23,sold
14,1,Volkswagen,Wollen,2020,13221.0,15204.15,7,Recklinghausen,2025-05-30 05:38:36,125,sold
15,1,Volkswagen,Dort,2019,30941.0,,6,Recklinghausen,2024-12-27 13:47:38,65,available
16,1,Volkswagen,Kann,2023,32473.0,37343.95,2,Recklinghausen,2025-12-15 23:31:42,82,available
17,1,Volkswagen,Fehlen,2024,17363.0,19967.449999999997,9,Recklinghausen,2023-11-26 18:37:52,138,sold
18,1,Volkswagen,Jahr,2020,13571.0,15606.65,8,Recklinghausen,2023-02-27 22:56:23,18,sold
19,1,Volkswagen,Wirklich,2024,19428.0,,6,Recklinghausen,2023-11-22 22:46:27,158,available
20,1,Volkswagen,Musik,2022,22333.0,25682.949999999997,6,Recklinghausen,2026-01-26 08:18:13,16,available
21,1,Volkswagen,Vater,2018,49780.0,57246.99999999999,5,Recklinghausen,2023-06-06 19:27:55,31,sold
22,1,Volkswagen,Tun,2018,29621.0,,8,Recklinghausen,2025-01-06 08:45:37,146,available
23,1,Volkswagen,Kein,2018,21709.0,24965.35,5,Recklinghausen,2023-09-27 11:10:12,157,sold
24,1,Volkswagen,Groß,2018,35377.0,,6,Recklinghausen,2024-03-04 07:18:01,133,available
25,1,Volkswagen,Sein,2019,31564.0,36298.6,8,Recklinghausen,2025-03-10 02:48:06,3,sold
26,1,Volkswagen,Abend,2019,17762.0,,5,Recklinghausen,2026-01-14 05:25:49,94,available
27,1,Volkswagen,Name,2021,10364.0,11918.599999999999,10,Recklinghausen,2025-11-06 06:28:16,155,available
28,1,Volkswagen,Dürfen,2020,20081.0,23093.149999999998,1,Recklinghausen,2025-03-05 01:34:34,34,sold
29,1,Volkswagen,Unten,2019,21729.0,24988.35,3,Recklinghausen,2024-08-13 12:02:00,61,sold
30,1,Volkswagen,Nehmen,2020,43371.0,49876.649999999994,1,Recklinghausen,2025-08-16 08:15:18,179,available
31,1,Volkswagen,Hoch,2019,44315.0,50962.24999999999,1,Recklinghausen,2023-03-31 12:34:18,31,sold
32,1,Volkswagen,Fröhlich,2019,20961.0,,2,Recklinghausen,2023-11-25 04:06:44,63,available
33,1,Volkswagen,Rund,2021,25304.0,29099.6,8,Recklinghausen,2024-12-16 10:52:52,99,sold
34,1,Volkswagen,Baum,2019,34449.0,39616.35,5,Recklinghausen,2024-02-28 05:57:14,85,sold
35,1,Volkswagen,Lehrerin,2023,40267.0,46307.049999999996,7,Recklinghausen,2024-05-08 09:20:52,92,sold
36,1,Volkswagen,Ging,2021,44481.0,,4,Recklinghausen,2024-01-29 05:05:03,124,available
