lead_id,created_at,dealer_id,source,inquiry_text,response_time_minutes,assigned_rep_id,converted,conversion_date,conversion_probability
1,2024-03-28 09:14:08,1,email,Papa Tisch schlafen ruhig.,17.0,3,False,,0.6232378578768799
2,2025-11-26 02:54:24,1,website,Kam Fußball holen Berg Stelle Schuh heißen.,11.0,4,False,,0.5988311296882864
3,2025-07-16 02:42:47,1,email,Sommer überall fliegen.,16.0,2,True,2025-08-02 02:42:47,0.8130409083731696
4,2025-12-24 17:34:31,1,referral,Leicht Seite sein dabei dunkel einfach laufen.,115.0,1,False,,0.5470400912899775
5,2025-11-30 16:13:18,1,email,Hart Fenster am wo genau.,97.0,2,True,2025-12-27 16:13:18,0.49663691402152743
6,2025-09-04 03:24:56,1,referral,Freude reiten schlecht früher Schuh.,100.0,4,False,,0.2833283726045154
7,2024-09-29 17:25:39,1,referral,Fiel gefährlich holen jetzt Boden hören.,35.0,4,True,2024-10-25 17:25:39,0.7997784158773229
8,2024-02-21 15:03:36,1,referral,Ball Land her weg vom.,118.0,4,False,,0.8467060236783519
9,2025-04-13 01:54:13,1,email,Etwas Apfel hoch Opa Affe.,56.0,2,True,2025-04-16 01:54:13,0.7697590583436881
10,2023-11-25 16:26:08,1,referral,Besser nehmen also Auge.,67.0,5,True,2023-12-18 16:26:08,0.8376223307294985
11,2024-09-30 21:29:57,1,website,Leicht über draußen in eigentlich sofort.,42.0,1,True,2024-10-17 21:29:57,0.18848928436936482
12,2026-01-04 08:34:15,1,website,Nun Essen fehlen erschrecken lustig.,44.0,4,False,,0.5793357066322707
13,2025-07-28 10:57:06,1,website,Tief Onkel lange dem wenn klettern verstehen ruhig.,97.0,5,True,2025-08-06 10:57:06,0.7070227939580886
14,2024-04-09 11:24:27,1,referral,Mich bis Brief dort.,25.0,5,False,,0.6774751893615835
15,2023-08-08 06:16:27,1,email,Los in schwarz ein dabei haben.,70.0,2,True,2023-08-12 06:16:27,0.6436212240135997
16,2025-10-22 04:44:51,1,website,Seite erklären weil Licht Vogel erschrecken.,63.0,3,False,,0.2852745810974916
17,2025-07-26 15:06:47,1,email,Ihr reiten antworten zur rechnen.,41.0,3,False,,0.7225134003331588
18,2023-04-30 05:12:31,1,email,Mensch Maus See Tante Licht sehen.,62.0,5,False,,0.6230337768558238
19,2024-05-16 17:27:15,1,email,Schwester sie Wort ganz nennen.,13.0,4,False,,0.14617600624443963
20,2024-03-16 09:59:11,1,website,Dein auch Tisch daran.,107.0,2,False,,0.7296867510769014
21,2025-10-20 13:08:34,1,referral,Mädchen fröhlich gestern Brief Frau.,28.0,3,True,2025-11-13 13:08:34,0.7804237045902916
22,2025-08-12 07:46:36,1,email,Drehen Fußball alle Auto Wort schlecht suchen.,23.0,1,False,,0.12990410133812968
23,2024-05-17 22:37:20,1,website,Fisch jung Jahr kommen damit.,26.0,3,True,2024-06-08 22:37:20,0.7572554674842807
24,2024-01-30 12:27:35,1,referral,Arbeit darauf dafür mehr haben Stein.,54.0,5,True,2024-02-13 12:27:35,0.6332450903508899
25,2023-07-23 04:14:17,1,email,Zwischen nicht Eltern Platz Schwester lieb.,5.0,3,False,,0.7903841302177012
26,2025-02-11 08:27:17,1,email,Antworten Zeitung sein Stelle gab Wort Bein.,99.0,5,False,,0.7517630499328098
27,2024-07-25 05:39:55,1,email,Damit Minute bauen ohne dann lesen Blume.,120.0,2,False,,0.24327426091261764
28,2025-07-10 18:21:41,1,website,Woche wenn an das kein.,98.0,3,True,2025-07-16 18:21:41,0.23996738718753452
29,2025-01-28 05:02:47,1,referral,Hilfe Frau Zug hören nennen schlafen.,48.0,1,True,2025-02-03 05:02:47,0.7138813221424424
30,2024-01-04 22:55:37,1,website,Möglich vergessen nur was.,80.0,5,False,,0.8405030916019438
31,2025-02-12 11:41:29,1,referral,Seite ja ganz.,54.0,4,True,2025-03-03 11:41:29,0.5965958201365157
32,2026-02-06 10:38:28,1,email,Haben baden dabei über sollen.,107.0,5,False,,0.3106501445146786
33,2025-12-19 13:50:33,1,email,Nehmen Mutter früher geben steigen Ding Tisch.,64.0,2,False,,0.3325924644753253
34,2026-02-05 21:35:14,1,referral,Schreiben lernen arbeiten einigen.,41.0,3,True,2026-02-08 21:35:14,0.8461153589397579
